id,lat,lon,num_votes,perception,trueskill_score,trueskill_stds
51e048b3fdc9f01d25a7a187,1.355086,103.960734,4,livelier,20.5714232127,4.18873274239
51e048d7fdc9f01d25ab05ac,1.387132,103.866562,2,wealthier,25.3184406724,5.6325918337
5217c361ad93a7d3e7b1f9c8,1.340964,103.747762,2,more beautiful,24.9607393894,5.72795137333
51e048c5fdc9f01d25a94b15,1.376504,103.848652,1,more boring,30.0584636826,6.83421101009
5217c361ad93a7d3e7b1f73a,1.372267,103.86194,1,more beautiful,27.1158641155,6.21620761189
51e048a0fdc9f01d25a5ea2f,1.280569,103.851305,6,safer,18.3995794381,3.83011632822
51e048c5fdc9f01d25a9504b,1.328489,103.916373,2,more boring,22.4629602944,5.75651918777
51e048b3fdc9f01d25a798f1,1.313486,103.804245,6,livelier,28.978758457,3.58474299851
51e048b3fdc9f01d25a79e99,1.360706,103.830127,3,livelier,34.6400942435,5.32965722611
5217c361ad93a7d3e7b1fa53,1.381883,103.739564,3,more beautiful,28.5139372288,5.60738903602
51e048a0fdc9f01d25a5ea02,1.312512,103.922064,5,safer,34.5541668423,4.01252677865
51e048e9fdc9f01d25acb41a,1.377201,103.857961,3,more depressing,20.2934925765,4.84013729102
51e048a0fdc9f01d25a5e4fb,1.291486,103.860631,3,safer,25.7115477209,4.49755562942
5217c361ad93a7d3e7b1f699,1.326015,103.725678,2,more beautiful,27.4886917324,5.17288501414
51e048d7fdc9f01d25aafefd,1.291486,103.860631,2,wealthier,24.1322618947,5.93098343616
51e048d7fdc9f01d25ab0795,1.379971,103.893494,4,wealthier,28.914849831,4.94833167933
51e048e9fdc9f01d25acb25d,1.298076,103.800558,3,more depressing,24.7228731291,4.79083380943
51e048a0fdc9f01d25a5e84a,1.404613,103.811045,1,safer,22.3358224257,6.16265580106
51e048a0fdc9f01d25a5e5d6,1.358837,104.00055,9,safer,26.7658457954,2.76070581114
51e048b3fdc9f01d25a79acb,1.3254,103.862254,7,livelier,25.8547870664,3.88656958818
5217c361ad93a7d3e7b1f938,1.367179,103.856206,4,more beautiful,31.1708702259,5.06859069183
51e048a0fdc9f01d25a5eb3b,1.335203,103.861371,3,safer,32.3168119895,4.31923044214
51e048b3fdc9f01d25a79fe2,1.325647,103.860311,7,livelier,28.2704347262,3.68408935998
5217c361ad93a7d3e7b1f26f,1.266082,103.824822,1,more beautiful,22.5599437389,7.2793262357
51e048a0fdc9f01d25a5e5da,1.347511,103.865649,10,safer,30.2026646506,3.19826016357
51e048b3fdc9f01d25a79a20,1.372362,103.828519,3,livelier,30.6004172737,4.81195402939
51e048a0fdc9f01d25a5eddf,1.334523,103.943229,13,safer,29.7219654746,2.7074931774
51e048b3fdc9f01d25a79ef4,1.376076,103.932675,4,livelier,15.5813471211,4.2184574379
51e048a0fdc9f01d25a5ec11,1.428115,103.838016,9,safer,25.979028406,2.93223374091
51e048a1fdc9f01d25a5ee6e,1.308502,103.757153,4,safer,24.9995876246,3.81726811415
51e048eafdc9f01d25acba13,1.331651,103.78841,3,more depressing,21.3023984893,5.06310222775
51e048a0fdc9f01d25a5e4ae,1.340269,103.769772,5,safer,31.142421361,3.6668586952
51e048c5fdc9f01d25a94caf,1.326834,103.894469,1,more boring,20.2195473844,6.70978741213
51e048a0fdc9f01d25a5eb9e,1.376076,103.932675,5,safer,23.4220116481,3.67369050122
51e048b3fdc9f01d25a79a86,1.339776,103.785,7,livelier,34.4927827136,3.80493180923
51e048b3fdc9f01d25a7a04b,1.351662,103.863697,5,livelier,22.2013425946,4.53850360649
51e048a0fdc9f01d25a5eddd,1.272365,103.838773,2,safer,30.2666940426,4.98266198485
51e048a0fdc9f01d25a5e8d4,1.371729,103.764362,17,safer,31.4041069519,2.45192086522
51e048a0fdc9f01d25a5e92a,1.367032,103.862335,7,safer,24.1348517678,3.37205542545
51e048a0fdc9f01d25a5e5fb,1.325574,103.862396,4,safer,30.0477783851,4.00000730664
51e048b3fdc9f01d25a7a132,1.285515,103.810072,5,livelier,28.9406143817,3.79195320721
51e048b3fdc9f01d25a79936,1.347691,103.748368,9,livelier,28.9154884363,3.16893160249
51e048b3fdc9f01d25a799fb,1.326404,103.713564,3,livelier,15.5282331716,5.15243858021
5217c361ad93a7d3e7b1f297,1.337766,103.980427,2,more beautiful,16.3233109294,5.91604390424
51e048b3fdc9f01d25a79969,1.370027,103.74731,1,livelier,23.7399099072,5.45311412624
51e048a0fdc9f01d25a5ed92,1.33156,103.866185,7,safer,29.7705817889,3.35614246203
51e048b3fdc9f01d25a7979f,1.366117,103.891248,5,livelier,23.1801376127,3.8297324189
