id,lat,lon
kQZHgsNt_VvWLG6hputIVg,1.35296864315415,103.83475572967
eb5pYTdA_6sdCyasW1oeYw,1.352910354969,103.834657192428
uay8-87UCbbgLe4gviaObg,1.35292832030634,103.834765548017
EE6hNzKmrRxKNNoFXMESuw,1.35280908173293,103.834878857096
wPVAbyffyQK1dOIS8LlgZQ,1.35301415947227,103.83481216306
QgVsCSg7Ko9QZ6Vq5GiA2g,1.35287008786224,103.834817381823
FXIXGaU7RhpONtOed0zeFw,1.3532017703181,103.834908312165
3gcjRlgZ-D3en6L7qHqpeA,1.35310536897373,103.834857716675
ckr_EuqbeDnjS7yaavImQw,1.35294981226671,103.834882395242
I0SRtTiqjlEUIkqiZxTZ2A,1.35274334411808,103.834942278379
dZK0atZsjVvg0tgYjl0CSg,1.35327166398338,103.8349666916
HQpnVCbHjyHwObVbiqo3lw,1.35304313841679,103.834932902288
PiPjINXCxBqgL8Mtn7rV5g,1.35288755521205,103.834949885396
5xK0UsG0vKXpbf93bLKclg,1.3526715028093,103.83500994547
wrgwgS82xixgz5adyyBIew,1.35333840928128,103.835025336421
sgODGPhEd6hxJ6Yy4-vGNQ,1.35298989272813,103.835000392467
TfXI3rCVh0n5cMWhz173iw,1.35293596643489,103.835074251352
POxGcpYS3ve6pq_T2uhoRA,1.3528266041488,103.835014191249
JNGz4UiOH_knRjWbjvBSvw,1.3527650923603,103.83507655115
ZbXiDbdouMQ2yzY6xBB8sQ,1.35260821005521,103.835083450545
YDYwtmmNmawTNcWxnMlM5g,1.35250502430076,103.8350929151
vg7mTPBK2ib4sb-tMzOQHw,1.35339978087305,103.835110252044
EOrIwrIm4l0GBs99orM7mQ,1.35287777579235,103.835143510677
yjTwAMKWblzbrRkir9im7g,1.35270137232951,103.835137407364
kN58saRVuTAHP-0ZMG-K6A,1.35259537436074,103.835126173729
egcQ9DyaYKDqc4jShJW1hw,1.35244350920849,103.835106713892
eaaxa5L3114xlOekUdMlRA,1.35237301191554,103.835164739597
zgzMMd42B0b__RhWd5-lCw,1.35347520047765,103.835226922659
PvMCx-i34OCyEnDIkhkyqg,1.35280848480623,103.835215335201
