location_id,trueskill_score
50f56204fdc9f065f00058c1,25.3184406724
50f56091fdc9f065f0005212,24.1322618947
50f562d7fdc9f065f0005aaa,28.914849831
50f562d9fdc9f065f0005acc,23.1160678849
50f562e2fdc9f065f0005b3c,20.8657789625
50f56060fdc9f065f0005164,25.0
50f56060fdc9f065f0005166,28.7333613609
50f56060fdc9f065f0005168,28.677957535
50f56086fdc9f065f0005173,33.1845966263
50f56086fdc9f065f0005175,28.7333613609
50f56086fdc9f065f0005178,28.8331216011
50f56086fdc9f065f0005179,30.9087091493
50f56086fdc9f065f000517e,30.0228830107
50f56087fdc9f065f0005182,29.3963314516
50f56087fdc9f065f0005183,29.1215003558
50f56087fdc9f065f0005186,17.3762950399
50f56087fdc9f065f0005188,29.7695500881
50f56088fdc9f065f0005190,36.5834238822
50f56088fdc9f065f0005194,28.7333613609
50f56088fdc9f065f0005196,18.9397435433
50f56088fdc9f065f0005199,26.018746704
50f56088fdc9f065f000519a,33.5833358966
50f56088fdc9f065f000519b,33.7693803171
50f56088fdc9f065f000519d,29.7695500881
50f56088fdc9f065f000519f,20.2304499119
50f56088fdc9f065f00051a0,25.0
50f56088fdc9f065f00051a1,30.2564803696
50f56089fdc9f065f00051a2,32.3497407996
50f56089fdc9f065f00051a5,25.0578685736
50f56089fdc9f065f00051a8,28.3394955717
50f5608afdc9f065f00051ae,32.5015854983
50f5608afdc9f065f00051b0,22.6106974994
50f5608afdc9f065f00051b1,25.0
50f5608afdc9f065f00051b3,24.9845667648
50f5608afdc9f065f00051b8,20.4508749053
50f5608afdc9f065f00051b9,28.0656002188
50f5608afdc9f065f00051bc,28.0043168301
50f5608afdc9f065f00051bd,31.5488349857
50f5608afdc9f065f00051c0,19.3096851498
50f5608afdc9f065f00051c2,18.143230311
50f5608afdc9f065f00051c3,22.6374996839
50f5608bfdc9f065f00051c9,25.8129512504
50f5608bfdc9f065f00051cd,32.5015854983
50f5608bfdc9f065f00051d1,29.7695500881
50f5608dfdc9f065f00051d9,29.7695500881
50f5608dfdc9f065f00051e3,22.6036100696
50f5608dfdc9f065f00051e9,33.6376090576
50f5608dfdc9f065f00051ed,31.5967293972
50f5608dfdc9f065f00051f2,23.5322538614
50f5608efdc9f065f00051f4,15.8987923675
50f5608efdc9f065f00051f7,25.0
50f5608efdc9f065f00051f9,25.0
50f5608efdc9f065f00051fa,36.5365780338
50f5608efdc9f065f00051fc,29.6368613216
50f5608efdc9f065f0005202,26.7513376473
50f56091fdc9f065f0005209,29.7695500881
50f56091fdc9f065f000520a,17.2504157615
50f56091fdc9f065f000520d,31.6025495787
50f56091fdc9f065f000520f,29.7695500881
50f56091fdc9f065f0005214,25.0
50f56091fdc9f065f000521d,19.0587848709
50f56091fdc9f065f0005222,12.464852589
50f56092fdc9f065f0005228,30.2648263266
50f56092fdc9f065f000522b,34.4858500057
50f56092fdc9f065f000522c,20.0895543708
50f56092fdc9f065f000522e,25.0
50f56092fdc9f065f0005231,29.9822186065
50f56092fdc9f065f0005234,26.9053365502
50f56092fdc9f065f000523a,24.8507243392
50f56092fdc9f065f000523d,35.7273639822
50f56092fdc9f065f0005240,32.5015854983
50f56092fdc9f065f0005242,25.0
50f56092fdc9f065f0005245,25.0942076108
50f56092fdc9f065f000524a,25.0578685736
50f56092fdc9f065f000524c,26.0529458279
50f56099fdc9f065f000524e,22.6693496121
50f56099fdc9f065f0005259,27.0204428345
50f56099fdc9f065f000525a,29.7695500881
50f56099fdc9f065f000525e,29.1249005336
50f5609afdc9f065f0005262,34.3352496476
50f5609afdc9f065f0005263,25.0
50f5609afdc9f065f0005265,25.0
50f5609afdc9f065f000526e,32.6429050627
50f5609afdc9f065f000526f,25.0
50f5609afdc9f065f0005270,30.9553956863
50f5609afdc9f065f0005273,23.2786399173
50f5609afdc9f065f0005275,33.6271188181
50f5609afdc9f065f0005278,20.4690683212
50f5609afdc9f065f000527b,23.1265725675
50f5609afdc9f065f000527f,25.0
50f5609afdc9f065f0005284,29.7695500881
50f5609afdc9f065f000528b,29.5843304761
50f5609afdc9f065f000528d,30.9661947316
50f5609afdc9f065f000528e,30.9698878281
50f5609afdc9f065f0005299,25.0
50f5609afdc9f065f000529c,28.7333613609
50f5609bfdc9f065f00052a0,28.4001302425
50f5609bfdc9f065f00052a4,20.2304499119
50f5609bfdc9f065f00052af,29.7695500881
50f5609bfdc9f065f00052b9,28.0779383782
50f5609bfdc9f065f00052bc,30.4324480383
